trial_num,min_blob_area,mog2_history,mog2_varThreshold,morph_kernel_size,gaussian_ksize,clahe_clip_limit,clahe_tile_grid_size,max_misses,association_threshold,Q,R,seq_8_car_success,seq_8_car_time,seq_8_garden_success,seq_8_garden_time,seq_8_hiding_success,seq_8_hiding_time,seq_8_saturated_success,seq_8_saturated_time,seq_8_crowd_success,seq_8_crowd_time,seq_8_birds_success,seq_8_birds_time,seq_8_depthwise_crossing_success,seq_8_depthwise_crossing_time,seq_8_quadrocopter_success,seq_8_quadrocopter_time,seq_8_selma_success,seq_8_selma_time,seq_8_trees_success,seq_8_trees_time,seq_8_soccer_success,seq_8_soccer_time,target_metric,metric_value,score_to_minimize,processed_seq,errors,frames,time_sec
70,238,798,94.43302,3,5,1.25400,"(8, 8)",10,103.73885,0.42038,18.99374,True,6.00990,True,2.24304,True,0.86482,True,1.57922,True,0.41286,True,1.31531,True,4.13413,True,1.12015,True,1.03092,True,2.84002,True,7.72965,idf1,0.10257,0.89743,,,5717,29.33604
71,141,774,99.45232,3,3,4.89289,"(12, 12)",10,128.87364,0.00012,132.81406,True,11.34838,True,2.35706,True,0.90756,True,1.69282,True,0.44902,True,1.40762,True,4.28804,True,1.23653,True,1.13048,True,3.07135,True,7.46315,idf1,0.12544,0.87456,,,5717,35.37668
72,493,723,99.60038,3,3,1.57559,"(8, 8)",10,142.36825,0.77262,64.25058,True,5.86220,True,2.18697,True,0.81081,True,1.46073,True,0.37586,True,1.26227,True,3.97290,True,1.02627,True,1.02720,True,2.71756,True,7.13994,idf1,0.23483,0.76517,,,5717,27.86051
73,61,611,45.39401,3,7,4.66692,"(8, 8)",10,25.33413,0.69778,93.82700,True,6.57141,True,3.59926,True,1.29176,True,2.96441,True,0.51910,True,1.66472,True,4.49252,True,4.03832,True,3.57124,True,11.58584,True,22.15616,idf1,0.03091,0.96909,,,5717,62.58167
74,498,106,82.91791,3,3,4.95166,"(8, 8)",6,48.34313,0.00032,190.21163,True,16.52422,True,7.47919,True,2.44043,True,4.30683,True,1.18747,True,3.44924,True,11.43803,True,3.18774,True,2.62495,True,7.35499,True,16.82435,idf1,0.04733,0.95267,,,5717,76.86399
75,431,762,94.13875,7,3,4.51880,"(16, 16)",10,38.79834,0.65834,63.49464,True,18.76809,True,7.97193,True,2.83123,True,3.63521,True,1.23439,True,3.62923,True,12.42108,True,3.17271,True,3.08173,True,8.65551,True,19.70190,idf1,0.13236,0.86764,,,5717,85.17081
76,499,761,13.90963,3,7,1.53707,"(8, 8)",5,61.58387,0.60290,95.33453,True,18.15770,True,10.65386,True,3.18760,True,7.10789,True,1.28914,True,4.33345,True,11.86630,True,4.85353,True,3.01062,True,9.14954,True,13.59122,idf1,0.09657,0.90343,,,5717,87.23254
77,478,786,96.68646,7,3,1.94819,"(12, 12)",10,42.51780,0.56140,171.10145,True,6.01957,True,2.13582,True,0.81099,True,1.36195,True,0.38890,True,1.25307,True,4.52384,True,1.05916,True,1.08904,True,2.85587,True,7.28451,idf1,0.07852,0.92148,,,5717,28.79968
78,442,757,95.16039,7,5,4.44679,"(12, 12)",9,79.76862,0.00010,72.04503,True,6.10676,True,2.28762,True,0.82027,True,1.37288,True,0.39854,True,1.28406,True,4.12057,True,1.74465,True,3.10120,True,5.57319,True,7.32377,idf1,0.11220,0.88780,,,5717,34.15162
79,491,736,11.52722,7,3,4.38065,"(12, 12)",2,91.11403,0.41338,40.30300,True,6.25761,True,2.50383,True,0.91841,True,1.60368,True,0.40820,True,1.33876,True,4.25446,True,1.32522,True,1.11821,True,9.54153,True,20.64140,idf1,0.05807,0.94193,,,5717,49.97654
80,78,750,91.08298,3,7,4.89419,"(12, 12)",4,140.91974,0.00012,74.30892,True,6.71412,True,2.53196,True,1.05097,True,1.90020,True,0.45082,True,1.48346,True,4.42565,True,1.40067,True,1.16019,True,3.29894,True,7.83158,idf1,0.07095,0.92905,,,5717,32.28544
81,53,163,30.20427,5,3,1.05166,"(12, 12)",10,72.03767,0.39086,110.65466,True,6.22295,True,2.72767,True,1.13006,True,2.17338,True,0.45022,True,1.52167,True,4.24314,True,1.73139,True,1.10809,True,2.93534,True,7.89894,idf1,0.05347,0.94653,,,5717,32.19096
82,444,746,86.75551,5,3,1.34821,"(16, 16)",10,26.25505,0.73086,51.12489,True,5.99012,True,2.09568,True,0.83866,True,1.41637,True,0.38204,True,1.26421,True,4.05757,True,1.07273,True,1.05666,True,2.79832,True,7.31175,idf1,0.12548,0.87452,,,5717,28.30657
83,59,737,98.10165,7,5,1.00001,"(8, 8)",10,135.92736,0.01455,56.71495,True,6.30572,True,2.25343,True,0.92124,True,1.69348,True,0.43008,True,1.40481,True,9.93193,True,4.25724,True,3.11194,True,9.38619,True,13.58202,idf1,0.07256,0.92744,,,5717,53.30742
